Soil_color,Nitrogen,Phosphorus,Potassium,pH,Temperature,Crop,Fertilizer
0,75,50,100,6.5,20,11,17
0,80,50,100,6.5,20,11,17
0,85,50,100,6.5,20,11,17
0,90,50,100,6.5,20,11,17
0,95,50,100,6.5,20,11,17
0,100,50,100,6.5,20,11,17
0,75,55,105,7.0,25,11,17
0,80,55,105,7.0,25,11,17
0,85,55,105,7.0,25,11,17
0,90,55,105,7.0,25,11,17
0,95,55,105,7.0,25,11,17
0,100,55,105,7.0,25,11,17
0,75,60,110,7.5,30,11,17
0,80,60,110,7.5,30,11,17
0,85,60,110,7.5,30,11,17
0,90,60,110,7.5,30,11,17
0,95,60,110,7.5,30,11,17
0,100,60,110,7.5,30,11,17
0,75,50,115,6.5,35,11,17
0,80,50,115,6.5,35,11,17
0,85,50,115,6.5,35,11,17
0,90,50,115,6.5,35,11,17
0,95,50,115,6.5,35,11,17
0,100,50,115,6.5,35,11,17
0,75,55,100,7.0,20,11,10
0,80,55,100,7.0,20,11,10
0,85,55,100,7.0,20,11,10
0,90,55,100,7.0,20,11,10
0,95,55,100,7.0,20,11,10
0,100,55,100,7.0,20,11,10
0,75,60,105,7.5,25,11,10
0,80,60,105,7.5,25,11,10
0,85,60,105,7.5,25,11,10
0,90,60,105,7.5,25,11,10
0,95,60,105,7.5,25,11,10
0,100,60,105,7.5,25,11,10
0,75,50,110,6.5,30,11,10
0,80,50,110,6.5,30,11,10
0,85,50,110,6.5,30,11,10
0,90,50,110,6.5,30,11,10
0,95,50,110,6.5,30,11,10
0,100,50,110,6.5,30,11,10
0,75,55,115,7.0,35,11,10
0,80,55,115,7.0,35,11,10
0,85,55,115,7.0,35,11,10
0,90,55,115,7.0,35,11,10
0,95,55,115,7.0,35,11,10
0,100,55,115,7.0,35,11,10
0,75,60,100,7.5,20,11,13
0,80,60,100,7.5,20,11,13
0,85,60,100,7.5,20,11,13
0,90,60,100,7.5,20,11,13
0,95,60,100,7.5,20,11,13
0,100,60,100,7.5,20,11,13
0,75,50,105,6.5,25,11,13
